#item+conceptum+codicem,#meta+conceptum+lat_auxilium+url,#meta+conceptum+codicem+alternativum,#meta+item+url+list,#meta+lat_sortem,#status,#item+conceptum+dominium,#meta+conceptum+ontologia+lat_regnum,#meta+conceptum+ontologia+lat_divisionem,#meta+conceptum+ontologia+lat_classem,#meta+conceptum+ontologia+lat_ordinem,#meta+conceptum+ontologia+lat_familiam,#meta+conceptum+ontologia+lat_genus,#meta+conceptum+ontologia+lat_speciem,#meta+conceptum+ontologia+lat_segmentum,,,,,,,,,,,,#item+rem+i_pt+i_por+is_latn,#status+rem+accuratum+i_pt+i_por+is_latn,#status+rem+textum+i_pt+i_por+is_latn,#meta+rem+annotationem+i_pt+i_por+is_latn,#meta+rem+json+i_pt+i_por+is_latn
L10N_ego_summarius,[(ℹ️)],Q1,https://github.com/HXL-CPLP/forum/issues/58|https://example.org,1,2,L10N,L10N,ego,,,,,summarius,,,,,,,,,,,,,Língua portuguesa (alfabeto latino),10,lat_rem_finale,,
L10N_ego_codicem,,,,2,2,L10N,L10N,ego,,,,,codicem,,,,,,,,,,,,,por-Latn,10,lat_rem_finale,,
L10N_ego_linguam_nomen,,,,3,2,L10N,L10N,ego,linguam,,,,nomen,,,,,,,,,,,,,Língua portuguesa,10,lat_rem_finale,,
L10N_ego_scriptum_nomen,[(ℹ️)],Q19845720,https://www.unicode.org/iso15924/,4,2,L10N,L10N,ego,scriptum,,,,nomen,,,,,,,,,,,,,Alfabeto latino,10,lat_rem_finale,,
L10N_ego_patriam_UN_M49_numerum,[(ℹ️)],Q7865431,https://en.wikipedia.org/wiki/UN_M49,5,2,L10N,L10N,ego,patriam,UN,M49,,numerum,,,,,,,,,,,,,001,10,lat_rem_finale,,
L10N_ego_patriam_UN_P_codicem,[(ℹ️)],,https://en.wikipedia.org/wiki/Place_code,6,2,L10N,L10N,ego,patriam,UN,P,,codicem,,,,,,,,,,,,,∅,10,lat_rem_finale,Nenhum código aplicável. ∅ significa intencionalmente 'vazio',
I18N_testum_salve_mundi_testum_I18N,[(ℹ️)],Q131303,,7,2,I18N,I18N,testum,salve,mundi,,testum,I18N,,,,,,,,,,,,,Olá mundo!,10,lat_rem_finale,Alô Mundo!!Programa alô mundo,
I18N_إختبار_טעסט_测试_테스트_испытание_I18N,[(ℹ️)],,https://www.iana.org/domains/reserved,8,2,I18N,I18N,إختبار,טעסט,测试,테스트,испытание,I18N,,,,,,,,,,,,,"Teste, 1, 2, 3",10,lat_rem_finale,,
I18N_०१२३४५६७८९_〇一二三四五六七八九十百千万亿_-1+2/3*4_٩٨٧٦٥٤٣٢١٠_零壹贰叁肆伍陆柒捌玖拾佰仟萬億_I18N,[(ℹ️)],Q3634986,https://en.wikipedia.org/wiki/List_of_numeral_systems,9,2,I18N,I18N,०१२३४५६७८९,〇一二三四五六七八九十百千万亿,-1+2/3*4,٩٨٧٦٥٤٣٢١٠,零壹贰叁肆伍陆柒捌玖拾佰仟萬億,I18N,,,,,,,,,,,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",10,lat_rem_finale,"um, dois, três, quatro, cinco, seis, sete, oito, nove, dez",
/0,,,,,1,,,/0,,,,,,,,,,,,,,,,,,Não aplicável,,,,
/1,,,,,1,,,/1,,,,,,,,,,,,,,,,,,Recurso genérico não codificado de outra forma,,,,
/2,,,,,1,,,/2,,,,,,,,,,,,,,,,,,Alimentação,,,,
/3,,,,,1,,,/3,,,,,,,,,,,,,,,,,,Higiene,,,,
/4,,,,,1,,,/4,,,,,,,,,,,,,,,,,,Saneamento,,,,
/2_1/,,,,,1,,,/2,1/,,,,,,,,,,,,,,,,,"Água (geral, alimentação humanos)",,,,
